"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"470k";;;
2;"R8,R9,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"100k";;;
3;"C2";"C_1210_3225Metric";1;"10u";;;
4;"L1";"L_Changjiang_FXL0630";1;"1u";;;
5;"U2";"TPS630250RNCT";1;"TPS630250RNCT";;;
6;"J11,J4";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
7;"J10,J3";"PinSocket_1x09_P2.54mm_Vertical";2;"Conn_01x09";;;
8;"R11,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"4.7k";;;
9;"J12,J5";"PinSocket_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
10;"J9,J8,J7,J6";"PinSocket_1x15_P2.54mm_Vertical";4;"Conn_01x15";;;
11;"C13,C11,C9,C6,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"100n";;;
12;"C5,C3,C4";"C_1210_3225Metric";3;"22u";;;
13;"R4,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"4.7M";;;
14;"U1";"WSON-6_1.5x1.5mm_P0.5mm";1;"BQ29728DSER";;;
15;"Q1,Q2";"SOT-23_Handsoldering";2;"SSM3K333R";;;
16;"R5";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"2.2k";;;
17;"R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100";;;
18;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"220";;;
19;"J1";"34_102";1;"Screw_Terminal_01x02";;;
